date,time,seconds,state,sensor_name,thing_name,thing_ip
05/01/24,14:46,1714592775.9900482,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/01/24,14:46,1714592776.0737422,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/01/24,14:46,1714592781.9982157,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/01/24,14:46,1714592782.0818782,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/01/24,16:46,1714599986.0226705,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/01/24,16:46,1714599986.5692086,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/01/24,16:46,1714600016.0580716,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/01/24,16:46,1714600016.6061924,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/01/24,18:46,1714607171.0535004,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/01/24,18:46,1714607172.0614944,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/01/24,19:08,1714608496.6345358,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/01/24,19:08,1714608497.531882,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/01/24,19:41,1714610498.776451,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/02/24,10:26,1714663615.704356,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/02/24,10:30,1714663821.126972,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/02/24,10:30,1714663821.9482715,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/02/24,16:09,1714684179.7202203,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/02/24,16:09,1714684180.0671449,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/02/24,16:09,1714684184.0729344,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/02/24,16:09,1714684185.797325,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/02/24,16:14,1714684462.402674,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/02/24,16:14,1714684464.1099522,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/02/24,16:14,1714684470.1176524,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/02/24,16:14,1714684470.4133358,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/03/24,19:02,1714780923.599219,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/03/24,19:02,1714780924.355135,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/03/24,20:28,1714786096.4868157,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/03/24,20:28,1714786097.3863463,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/03/24,20:48,1714787316.7396016,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/03/24,20:48,1714787317.933072,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/03/24,20:49,1714787342.7699084,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/03/24,20:49,1714787344.7731612,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/03/24,21:08,1714788520.080612,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/03/24,21:08,1714788521.358311,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,12:19,1714843188.9193382,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,12:19,1714843189.903498,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,12:19,1714843194.9265697,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,12:19,1714843195.088267,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,12:19,1714843195.9124093,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,12:20,1714843209.930481,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,12:28,1714843725.518871,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,12:28,1714843726.5376515,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,12:28,1714843732.5444393,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,12:28,1714843733.5288036,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,12:29,1714843741.538919,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,12:29,1714843742.5575204,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,12:58,1714845497.506286,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,12:58,1714845498.631951,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,13:16,1714846609.9390328,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,13:16,1714846610.7390745,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,13:18,1714846722.86195,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,13:18,1714846724.0753243,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,13:19,1714846756.1143954,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,13:19,1714846756.9014106,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,13:41,1714848061.6619496,1.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,13:41,1714848062.3617213,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/04/24,13:55,1714848908.656381,0.0,Door Sensor,Back Door Pi,192.168.86.151
05/04/24,13:55,1714848909.296556,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/14/24,15:38,1715719114.7972343,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/14/24,15:54,1715720075.873247,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/14/24,16:07,1715720836.7314324,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
05/14/24,16:10,1715721000.9149003,0.0,Vibration Sensor,Back Door Pi,192.168.86.151
06/05/24,12:29,1717608579.6971283,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:35,1717608900.0644612,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:42,1717609331.9009576,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:42,1717609332.5458207,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:42,1717609337.9092686,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:42,1717609338.5539255,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:46,1717609580.1907446,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:46,1717609580.8167057,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:52,1717609941.2160032,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:52,1717609942.620883,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:52,1717609945.221583,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:52,1717609946.626894,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:52,1717609956.6146924,1.0,Vibration Sensor,Back Door Pi,192.168.86.151
06/05/24,12:52,1717609956.6398666,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,12:52,1717609957.2344449,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,14:09,1717614548.1007495,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,14:09,1717614548.3719938,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/05/24,16:02,1717621359.8905642,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,09:08,1717769329.6674514,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,09:08,1717769329.997112,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,15:48,1717793322.2908237,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,15:48,1717793322.4957535,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,16:28,1717795693.1302433,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,16:28,1717795699.138141,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,16:28,1717795715.1571412,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,16:29,1717795749.1966088,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,16:33,1717795999.154545,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,16:33,1717795999.4797077,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,16:34,1717796055.220754,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,16:34,1717796055.5412254,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,17:47,1717800474.364429,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,17:47,1717800474.4066098,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,17:48,1717800486.379326,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,17:48,1717800486.4210656,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,17:48,1717800532.433284,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,17:48,1717800532.473605,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,17:49,1717800548.4536982,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/07/24,17:49,1717800548.4926198,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,08:15,1718025328.141327,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,08:17,1718025448.276782,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,08:21,1718025714.577916,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,11:37,1718037479.713246,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,11:37,1718037479.9767585,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,13:01,1718042503.3469665,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,13:01,1718042503.904788,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,14:22,1718047377.6764212,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,14:22,1718047378.810007,0.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,15:00,1718049641.3473177,1.0,Door Sensor,Back Door Pi,192.168.86.151
06/10/24,15:00,1718049642.374583,1.0,Door Sensor,Back Door Pi,192.168.86.151
