date,time,seconds,state,sensor_name,thing_name,thing_ip
07/02/24,11:25,1719937537.7731464,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,11:25,1719937540.2766705,0.0,Office Bulb,PiClient,192.168.86.149
07/02/24,11:25,1719937542.3881452,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,11:25,1719937546.5856674,0.0,Office Bulb,PiClient,192.168.86.149
07/02/24,11:25,1719937547.6432886,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,11:25,1719937549.7540936,0.0,Office Bulb,PiClient,192.168.86.149
07/02/24,11:37,1719938257.9336517,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,11:37,1719938260.2873445,0.0,Office Bulb,PiClient,192.168.86.149
07/02/24,11:37,1719938261.3330646,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,11:37,1719938263.4619606,0.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:06,1719947195.4519403,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:06,1719947200.6282775,0.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:15,1719947702.2322736,0.0,Office Plug Actuator,PiClient,192.168.4.149
07/02/24,14:15,1719947711.000647,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:15,1719947712.06082,0.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:15,1719947713.1154442,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:15,1719947714.170514,0.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:36,1719948988.8670652,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:36,1719948989.9298277,0.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:41,1719949287.721217,1.0,Office Bulb,PiClient,192.168.86.149
07/02/24,14:41,1719949294.098343,0.0,Office Bulb,PiClient,192.168.86.149
07/03/24,11:45,1720025102.8068962,1.0,Office Bulb,PiClient,192.168.86.149
07/03/24,11:45,1720025103.8642328,0.0,Office Bulb,PiClient,192.168.86.149
07/03/24,12:30,1720027823.9069166,1.0,Office Bulb,PiClient,192.168.86.149
07/03/24,12:30,1720027824.967307,0.0,Office Bulb,PiClient,192.168.86.149
07/03/24,12:58,1720029522.3705893,1.0,Office Bulb,PiClient,192.168.86.149
07/03/24,12:58,1720029523.4213593,0.0,Office Bulb,PiClient,192.168.86.149
07/03/24,13:08,1720030086.4572332,1.0,Office Bulb,PiClient,192.168.86.149
07/03/24,13:08,1720030088.5656364,0.0,Office Bulb,PiClient,192.168.86.149
07/03/24,15:00,1720036831.7255638,1.0,Office Bulb,PiClient,192.168.86.149
07/03/24,15:00,1720036832.78046,0.0,Office Bulb,PiClient,192.168.86.149
07/03/24,15:00,1720036833.8388326,1.0,Office Bulb,PiClient,192.168.86.149
07/03/24,15:00,1720036837.007929,0.0,Office Bulb,PiClient,192.168.86.149
07/03/24,15:00,1720036842.19649,1.0,Office Bulb,PiClient,192.168.86.149
07/03/24,15:00,1720036850.5616002,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,08:45,1720446352.4354596,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,08:45,1720446355.5941403,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,08:52,1720446760.298334,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,08:52,1720446762.4068336,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,08:52,1720446765.2182007,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,08:52,1720446766.3907452,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,08:53,1720446812.403458,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,08:53,1720446817.692842,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,08:58,1720447107.2056644,1.0,Office Plug Actuator,PiClient,192.168.4.149
07/08/24,10:47,1720453621.8011796,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,10:47,1720453629.32609,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,10:47,1720453667.3940132,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,10:47,1720453668.446623,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,11:32,1720456328.9794888,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,11:32,1720456337.7380755,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,11:32,1720456339.3529973,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,11:32,1720456340.4017203,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:00,1720458043.745027,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:00,1720458054.5516288,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:16,1720459000.4400363,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:16,1720459009.0966115,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:49,1720460975.5321577,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:51,1720461101.4675815,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:53,1720461189.9248266,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:53,1720461190.9834363,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:53,1720461193.127292,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,12:53,1720461194.1834366,0.0,Office Bulb,PiClient,192.168.86.149
07/08/24,13:27,1720463237.1812904,0.0,Office Plug Actuator,PiClient,192.168.4.149
07/08/24,13:27,1720463247.0990984,1.0,Office Bulb,PiClient,192.168.86.149
07/08/24,13:27,1720463254.5846918,0.0,Office Bulb,PiClient,192.168.86.149
07/09/24,08:36,1720532165.4695842,1.0,Office Bulb,PiClient,192.168.86.149
07/09/24,08:36,1720532167.575524,0.0,Office Bulb,PiClient,192.168.86.149
07/09/24,08:36,1720532177.826012,1.0,Office Bulb,PiClient,192.168.86.149
07/09/24,08:36,1720532180.9687374,0.0,Office Bulb,PiClient,192.168.86.149
07/09/24,08:54,1720533282.797748,1.0,Office Bulb,PiClient,192.168.86.149
07/09/24,08:54,1720533288.4158678,0.0,Office Bulb,PiClient,192.168.86.149
07/09/24,09:05,1720533937.8235514,1.0,Office Plug Actuator,PiClient,192.168.4.149
07/09/24,14:00,1720551618.5273654,1.0,Office Bulb,PiClient,192.168.86.149
07/09/24,14:00,1720551619.585818,0.0,Office Bulb,PiClient,192.168.86.149
07/09/24,14:00,1720551630.9547946,1.0,Office Bulb,PiClient,192.168.86.149
07/09/24,14:00,1720551632.0603008,0.0,Office Bulb,PiClient,192.168.86.149
07/09/24,14:03,1720551816.4164977,0.0,Office Plug Actuator,PiClient,192.168.4.149
07/09/24,14:06,1720552014.9149766,1.0,Office Bulb,PiClient,192.168.86.149
07/09/24,14:07,1720552022.4070046,0.0,Office Bulb,PiClient,192.168.86.149
