datetime,state,anomaly
2024-07-02 00:00:00,28.0,-1
2024-07-02 06:00:00,181.0,-1
2024-07-02 12:00:00,571.0,-1
2024-07-02 18:00:00,407.0,-1
2024-07-03 00:00:00,178.0,-1
2024-07-03 06:00:00,204.0,-1
2024-07-03 12:00:00,580.0,-1
2024-07-03 18:00:00,422.0,-1
2024-07-04 00:00:00,164.0,-1
2024-07-04 06:00:00,172.0,-1
2024-07-04 12:00:00,180.0,-1
2024-07-04 18:00:00,170.0,-1
2024-07-05 00:00:00,143.0,-1
2024-07-05 06:00:00,138.0,-1
2024-07-05 12:00:00,90.0,-1
2024-07-05 18:00:00,78.0,-1
2024-07-06 00:00:00,113.0,-1
2024-07-06 06:00:00,96.0,1
2024-07-06 12:00:00,109.0,1
2024-07-06 18:00:00,105.0,1
2024-07-07 00:00:00,113.0,-1
2024-07-07 06:00:00,107.0,-1
2024-07-07 12:00:00,98.0,1
2024-07-07 18:00:00,99.0,1
2024-07-08 00:00:00,108.0,-1
2024-07-08 06:00:00,98.0,1
2024-07-08 12:00:00,577.0,-1
2024-07-08 18:00:00,203.0,-1
2024-07-09 00:00:00,136.0,-1
2024-07-09 06:00:00,128.0,-1
2024-07-09 12:00:00,439.0,-1
2024-07-09 18:00:00,387.0,-1
2024-07-10 00:00:00,144.0,-1
2024-07-10 06:00:00,152.0,-1
2024-07-10 12:00:00,160.0,-1
2024-07-10 18:00:00,0.0,1
2024-07-11 00:00:00,0.0,1
2024-07-11 06:00:00,0.0,1
2024-07-11 12:00:00,0.0,1
2024-07-11 18:00:00,75.0,-1
2024-07-12 00:00:00,119.0,-1
2024-07-12 06:00:00,111.0,-1
2024-07-12 12:00:00,226.0,-1
2024-07-12 18:00:00,307.0,-1
2024-07-13 00:00:00,88.0,-1
2024-07-13 06:00:00,69.0,-1
2024-07-13 12:00:00,100.0,1
2024-07-13 18:00:00,94.0,1
2024-07-14 00:00:00,85.0,-1
2024-07-14 06:00:00,101.0,1
2024-07-14 12:00:00,87.0,1
2024-07-14 18:00:00,93.0,1
2024-07-15 00:00:00,81.0,-1
2024-07-15 06:00:00,97.0,1
2024-07-15 12:00:00,209.0,-1
2024-07-15 18:00:00,248.0,-1
2024-07-16 00:00:00,4.0,1
2024-07-16 06:00:00,6.0,1
2024-07-16 12:00:00,224.0,-1
2024-07-16 18:00:00,203.0,-1
2024-07-17 00:00:00,0.0,1
2024-07-17 06:00:00,0.0,1
2024-07-17 12:00:00,240.0,-1
2024-07-17 18:00:00,148.0,-1
2024-07-18 00:00:00,0.0,1
2024-07-18 06:00:00,0.0,1
2024-07-18 12:00:00,378.0,-1
2024-07-18 18:00:00,150.0,-1
2024-07-19 00:00:00,0.0,1
2024-07-19 06:00:00,0.0,1
2024-07-19 12:00:00,101.0,1
2024-07-19 18:00:00,121.0,-1
2024-07-20 00:00:00,0.0,1
2024-07-20 06:00:00,0.0,1
2024-07-20 12:00:00,0.0,1
2024-07-20 18:00:00,0.0,1
2024-07-21 00:00:00,0.0,1
2024-07-21 06:00:00,0.0,1
2024-07-21 12:00:00,0.0,1
2024-07-21 18:00:00,0.0,1
2024-07-22 00:00:00,0.0,1
2024-07-22 06:00:00,0.0,1
2024-07-22 12:00:00,0.0,1
2024-07-22 18:00:00,0.0,1
2024-07-23 00:00:00,0.0,1
2024-07-23 06:00:00,0.0,1
2024-07-23 12:00:00,3.0,-1
2024-07-23 18:00:00,0.0,1
2024-07-24 00:00:00,0.0,1
2024-07-24 06:00:00,0.0,1
2024-07-24 12:00:00,4.0,1
2024-07-24 18:00:00,0.0,1
2024-07-25 00:00:00,0.0,1
2024-07-25 06:00:00,0.0,1
2024-07-25 12:00:00,3.0,-1
2024-07-25 18:00:00,5.0,1
2024-07-26 00:00:00,0.0,1
2024-07-26 06:00:00,0.0,1
2024-07-26 12:00:00,3.0,-1
2024-07-26 18:00:00,160.0,-1
2024-07-27 00:00:00,1.0,1
2024-07-27 06:00:00,0.0,1
2024-07-27 12:00:00,0.0,1
2024-07-27 18:00:00,0.0,1
2024-07-28 00:00:00,0.0,1
2024-07-28 06:00:00,0.0,1
2024-07-28 12:00:00,0.0,1
2024-07-28 18:00:00,0.0,1
2024-07-29 00:00:00,0.0,1
2024-07-29 06:00:00,0.0,1
2024-07-29 12:00:00,8.0,1
2024-07-29 18:00:00,0.0,1
2024-07-30 00:00:00,0.0,1
2024-07-30 06:00:00,1.0,1
2024-07-30 12:00:00,7.0,1
2024-07-30 18:00:00,0.0,1
2024-07-31 00:00:00,0.0,1
2024-07-31 06:00:00,0.0,1
2024-07-31 12:00:00,0.0,1
2024-07-31 18:00:00,0.0,1
2024-08-01 00:00:00,0.0,1
2024-08-01 06:00:00,0.0,1
2024-08-01 12:00:00,0.0,1
2024-08-01 18:00:00,0.0,1
2024-08-02 00:00:00,0.0,1
2024-08-02 06:00:00,0.0,1
2024-08-02 12:00:00,0.0,1
2024-08-02 18:00:00,0.0,1
2024-08-03 00:00:00,0.0,1
2024-08-03 06:00:00,0.0,1
2024-08-03 12:00:00,0.0,1
2024-08-03 18:00:00,0.0,1
2024-08-04 00:00:00,0.0,1
2024-08-04 06:00:00,0.0,1
2024-08-04 12:00:00,0.0,1
2024-08-04 18:00:00,0.0,1
2024-08-05 00:00:00,0.0,1
2024-08-05 06:00:00,0.0,1
2024-08-05 12:00:00,0.0,1
2024-08-05 18:00:00,0.0,1
2024-08-06 00:00:00,0.0,1
2024-08-06 06:00:00,0.0,1
2024-08-06 12:00:00,0.0,1
2024-08-06 18:00:00,0.0,1
2024-08-07 00:00:00,0.0,1
2024-08-07 06:00:00,0.0,1
2024-08-07 12:00:00,0.0,1
2024-08-07 18:00:00,0.0,1
2024-08-08 00:00:00,0.0,1
2024-08-08 06:00:00,0.0,1
2024-08-08 12:00:00,0.0,1
2024-08-08 18:00:00,0.0,1
2024-08-09 00:00:00,0.0,1
2024-08-09 06:00:00,0.0,1
2024-08-09 12:00:00,0.0,1
2024-08-09 18:00:00,0.0,1
2024-08-10 00:00:00,0.0,1
2024-08-10 06:00:00,0.0,1
2024-08-10 12:00:00,0.0,1
2024-08-10 18:00:00,0.0,1
2024-08-11 00:00:00,0.0,1
2024-08-11 06:00:00,0.0,1
2024-08-11 12:00:00,0.0,1
2024-08-11 18:00:00,0.0,1
2024-08-12 00:00:00,0.0,1
2024-08-12 06:00:00,0.0,1
2024-08-12 12:00:00,2.0,-1
2024-08-12 18:00:00,136.0,-1
2024-08-13 00:00:00,0.0,1
2024-08-13 06:00:00,0.0,1
2024-08-13 12:00:00,6.0,1
2024-08-13 18:00:00,0.0,1
2024-08-14 00:00:00,0.0,1
2024-08-14 06:00:00,0.0,1
2024-08-14 12:00:00,4.0,1
2024-08-14 18:00:00,0.0,1
2024-08-15 00:00:00,0.0,1
2024-08-15 06:00:00,0.0,1
2024-08-15 12:00:00,21.0,-1
2024-08-15 18:00:00,161.0,-1
2024-08-16 00:00:00,0.0,1
2024-08-16 06:00:00,0.0,1
2024-08-16 12:00:00,276.0,-1
2024-08-16 18:00:00,214.0,-1
2024-08-17 00:00:00,0.0,1
2024-08-17 06:00:00,0.0,1
2024-08-17 12:00:00,0.0,1
2024-08-17 18:00:00,0.0,1
2024-08-18 00:00:00,0.0,1
2024-08-18 06:00:00,0.0,1
2024-08-18 12:00:00,0.0,1
2024-08-18 18:00:00,0.0,1
2024-08-19 00:00:00,0.0,1
2024-08-19 06:00:00,0.0,1
2024-08-19 12:00:00,6.0,1
2024-08-19 18:00:00,144.0,-1
2024-08-20 00:00:00,0.0,1
2024-08-20 06:00:00,0.0,1
2024-08-20 12:00:00,5.0,1
2024-08-20 18:00:00,0.0,1
2024-08-21 00:00:00,0.0,1
2024-08-21 06:00:00,0.0,1
2024-08-21 12:00:00,4.0,1
2024-08-21 18:00:00,6.0,1
2024-08-22 00:00:00,0.0,1
2024-08-22 06:00:00,0.0,1
2024-08-22 12:00:00,4.0,1
2024-08-22 18:00:00,87.0,1
2024-08-23 00:00:00,0.0,1
2024-08-23 06:00:00,0.0,1
2024-08-23 12:00:00,22.0,-1
2024-08-23 18:00:00,119.0,-1
2024-08-24 00:00:00,0.0,1
2024-08-24 06:00:00,0.0,1
2024-08-24 12:00:00,0.0,1
2024-08-24 18:00:00,1.0,1
2024-08-25 00:00:00,0.0,1
2024-08-25 06:00:00,0.0,1
2024-08-25 12:00:00,1.0,1
2024-08-25 18:00:00,0.0,1
2024-08-26 00:00:00,0.0,1
2024-08-26 06:00:00,0.0,1
2024-08-26 12:00:00,8.0,1
2024-08-26 18:00:00,115.0,-1
2024-08-27 00:00:00,0.0,1
2024-08-27 06:00:00,1.0,1
2024-08-27 12:00:00,0.0,1
2024-08-27 18:00:00,0.0,1
2024-08-28 00:00:00,0.0,1
2024-08-28 06:00:00,0.0,1
2024-08-28 12:00:00,9.0,-1
2024-08-28 18:00:00,17.0,-1
2024-08-29 00:00:00,0.0,1
2024-08-29 06:00:00,0.0,1
2024-08-29 12:00:00,4.0,1
2024-08-29 18:00:00,0.0,1
2024-08-30 00:00:00,0.0,1
2024-08-30 06:00:00,0.0,1
2024-08-30 12:00:00,62.0,-1
2024-08-30 18:00:00,132.0,-1
2024-08-31 00:00:00,0.0,1
2024-08-31 06:00:00,0.0,1
2024-08-31 12:00:00,0.0,1
2024-08-31 18:00:00,0.0,1
2024-09-01 00:00:00,0.0,1
2024-09-01 06:00:00,0.0,1
2024-09-01 12:00:00,0.0,1
2024-09-01 18:00:00,0.0,1
2024-09-02 00:00:00,0.0,1
2024-09-02 06:00:00,0.0,1
2024-09-02 12:00:00,0.0,1
2024-09-02 18:00:00,0.0,1
2024-09-03 00:00:00,0.0,1
2024-09-03 06:00:00,0.0,1
2024-09-03 12:00:00,66.0,-1
2024-09-03 18:00:00,73.0,-1
2024-09-04 00:00:00,0.0,1
2024-09-04 06:00:00,0.0,1
2024-09-04 12:00:00,6.0,1
2024-09-04 18:00:00,132.0,-1
2024-09-05 00:00:00,0.0,1
2024-09-05 06:00:00,0.0,1
2024-09-05 12:00:00,6.0,1
2024-09-05 18:00:00,0.0,1
2024-09-06 00:00:00,1.0,1
2024-09-06 06:00:00,0.0,1
2024-09-06 12:00:00,4.0,1
2024-09-06 18:00:00,264.0,-1
2024-09-07 00:00:00,48.0,-1
2024-09-07 06:00:00,51.0,-1
2024-09-07 12:00:00,7.0,1
2024-09-07 18:00:00,0.0,1
2024-09-08 00:00:00,0.0,1
2024-09-08 06:00:00,0.0,1
2024-09-08 12:00:00,0.0,1
2024-09-08 18:00:00,0.0,1
2024-09-09 00:00:00,0.0,1
2024-09-09 06:00:00,0.0,1
2024-09-09 12:00:00,6.0,1
2024-09-09 18:00:00,48.0,-1
2024-09-10 00:00:00,39.0,1
2024-09-10 06:00:00,51.0,-1
2024-09-10 12:00:00,57.0,-1
2024-09-10 18:00:00,44.0,-1
2024-09-11 00:00:00,39.0,1
2024-09-11 06:00:00,36.0,-1
2024-09-11 12:00:00,55.0,-1
2024-09-11 18:00:00,305.0,-1
2024-09-12 00:00:00,96.0,1
2024-09-12 06:00:00,82.0,-1
2024-09-12 12:00:00,79.0,-1
2024-09-12 18:00:00,95.0,1
2024-09-13 00:00:00,41.0,-1
2024-09-13 06:00:00,49.0,-1
2024-09-13 12:00:00,54.0,-1
2024-09-13 18:00:00,363.0,-1
2024-09-14 00:00:00,38.0,1
2024-09-14 06:00:00,39.0,1
2024-09-14 12:00:00,38.0,1
2024-09-14 18:00:00,41.0,-1
2024-09-15 00:00:00,48.0,-1
2024-09-15 06:00:00,37.0,1
2024-09-15 12:00:00,36.0,-1
2024-09-15 18:00:00,985.0,-1
2024-09-16 00:00:00,0.0,1
2024-09-16 06:00:00,1.0,1
2024-09-16 12:00:00,121.0,-1
2024-09-16 18:00:00,308.0,-1
2024-09-17 00:00:00,0.0,1
2024-09-17 06:00:00,0.0,1
2024-09-17 12:00:00,8.0,1
2024-09-17 18:00:00,37.0,1
2024-09-18 00:00:00,0.0,1
2024-09-18 06:00:00,0.0,1
2024-09-18 12:00:00,109.0,1
2024-09-18 18:00:00,174.0,-1
2024-09-19 00:00:00,0.0,1
2024-09-19 06:00:00,0.0,1
2024-09-19 12:00:00,32.0,-1
2024-09-19 18:00:00,100.0,1
2024-09-20 00:00:00,0.0,1
2024-09-20 06:00:00,0.0,1
2024-09-20 12:00:00,13.0,-1
2024-09-20 18:00:00,325.0,-1
2024-09-21 00:00:00,0.0,1
2024-09-21 06:00:00,0.0,1
2024-09-21 12:00:00,0.0,1
2024-09-21 18:00:00,0.0,1
2024-09-22 00:00:00,0.0,1
2024-09-22 06:00:00,0.0,1
2024-09-22 12:00:00,0.0,1
2024-09-22 18:00:00,0.0,1
2024-09-23 00:00:00,0.0,1
2024-09-23 06:00:00,0.0,1
2024-09-23 12:00:00,0.0,1
2024-09-23 18:00:00,0.0,1
2024-09-24 00:00:00,0.0,1
2024-09-24 06:00:00,0.0,1
2024-09-24 12:00:00,7.0,1
2024-09-24 18:00:00,35.0,-1
2024-09-25 00:00:00,0.0,1
2024-09-25 06:00:00,0.0,1
2024-09-25 12:00:00,8.0,1
2024-09-25 18:00:00,0.0,1
2024-09-26 00:00:00,0.0,1
2024-09-26 06:00:00,0.0,1
2024-09-26 12:00:00,7.0,1
2024-09-26 18:00:00,0.0,1
2024-09-27 00:00:00,0.0,1
2024-09-27 06:00:00,0.0,1
2024-09-27 12:00:00,8.0,1
2024-09-27 18:00:00,214.0,-1
2024-09-28 00:00:00,0.0,1
2024-09-28 06:00:00,0.0,1
2024-09-28 12:00:00,0.0,1
2024-09-28 18:00:00,1.0,1
2024-09-29 00:00:00,0.0,1
2024-09-29 06:00:00,1.0,1
2024-09-29 12:00:00,0.0,1
2024-09-29 18:00:00,0.0,1
2024-09-30 00:00:00,0.0,1
2024-09-30 06:00:00,0.0,1
2024-09-30 12:00:00,9.0,-1
2024-09-30 18:00:00,0.0,1
2024-10-01 00:00:00,0.0,1
2024-10-01 06:00:00,0.0,1
2024-10-01 12:00:00,146.0,-1
2024-10-01 18:00:00,194.0,-1
