datetime,state,anomaly
7/2/2024 10:00,65,-1
7/2/2024 12:00,104,-1
7/2/2024 14:00,112,-1
7/2/2024 16:00,355,-1
7/2/2024 18:00,299,-1
7/3/2024 10:00,68,-1
7/3/2024 12:00,66,-1
7/3/2024 14:00,138,-1
7/3/2024 16:00,376,-1
7/3/2024 18:00,289,-1
7/4/2024 10:00,57,-1
7/4/2024 12:00,58,-1
7/4/2024 14:00,53,-1
7/4/2024 16:00,69,-1
7/4/2024 18:00,66,-1
7/5/2024 10:00,45,-1
7/5/2024 12:00,42,-1
7/5/2024 14:00,40,-1
7/5/2024 16:00,8,1
7/5/2024 18:00,4,1
7/6/2024 10:00,37,-1
7/6/2024 12:00,44,-1
7/6/2024 14:00,32,1
7/6/2024 16:00,33,-1
7/6/2024 18:00,34,-1
7/7/2024 10:00,32,1
7/7/2024 12:00,31,-1
7/7/2024 14:00,35,1
7/7/2024 16:00,32,1
7/7/2024 18:00,34,-1
7/8/2024 10:00,37,-1
7/8/2024 12:00,101,-1
7/8/2024 14:00,90,-1
7/8/2024 16:00,386,-1
7/8/2024 18:00,132,-1
7/9/2024 10:00,44,-1
7/9/2024 12:00,84,-1
7/9/2024 14:00,111,-1
7/9/2024 16:00,244,-1
7/9/2024 18:00,289,-1
7/10/2024 10:00,46,-1
7/10/2024 12:00,121,-1
7/10/2024 14:00,39,-1
7/10/2024 16:00,0,1
7/10/2024 18:00,0,1
7/11/2024 10:00,0,1
7/11/2024 12:00,0,1
7/11/2024 14:00,0,1
7/11/2024 16:00,0,1
7/11/2024 18:00,11,1
7/12/2024 10:00,38,-1
7/12/2024 12:00,55,-1
7/12/2024 14:00,71,-1
7/12/2024 16:00,100,-1
7/12/2024 18:00,171,-1
7/13/2024 10:00,20,-1
7/13/2024 12:00,36,1
7/13/2024 14:00,35,1
7/13/2024 16:00,29,-1
7/13/2024 18:00,28,-1
7/14/2024 10:00,35,1
7/14/2024 12:00,27,-1
7/14/2024 14:00,30,-1
7/14/2024 16:00,30,-1
7/14/2024 18:00,28,-1
7/15/2024 10:00,35,1
7/15/2024 12:00,42,-1
7/15/2024 14:00,108,-1
7/15/2024 16:00,59,-1
7/15/2024 18:00,179,-1
7/16/2024 10:00,4,1
7/16/2024 12:00,12,1
7/16/2024 14:00,80,-1
7/16/2024 16:00,132,-1
7/16/2024 18:00,203,-1
7/17/2024 10:00,0,1
7/17/2024 12:00,12,1
7/17/2024 14:00,36,1
7/17/2024 16:00,192,-1
7/17/2024 18:00,87,-1
7/18/2024 10:00,0,1
7/18/2024 12:00,24,-1
7/18/2024 14:00,92,-1
7/18/2024 16:00,262,-1
7/18/2024 18:00,110,-1
7/19/2024 10:00,0,1
7/19/2024 12:00,61,-1
7/19/2024 14:00,8,1
7/19/2024 16:00,32,1
7/19/2024 18:00,121,-1
7/20/2024 10:00,0,1
7/20/2024 12:00,0,1
7/20/2024 14:00,0,1
7/20/2024 16:00,0,1
7/20/2024 18:00,0,1
7/21/2024 10:00,0,1
7/21/2024 12:00,0,1
7/21/2024 14:00,0,1
7/21/2024 16:00,0,1
7/21/2024 18:00,0,1
7/22/2024 10:00,0,1
7/22/2024 12:00,0,1
7/22/2024 14:00,0,1
7/22/2024 16:00,0,1
7/22/2024 18:00,0,1
7/23/2024 10:00,0,1
7/23/2024 12:00,3,-1
7/23/2024 14:00,0,1
7/23/2024 16:00,0,1
7/23/2024 18:00,0,1
7/24/2024 10:00,0,1
7/24/2024 12:00,4,1
7/24/2024 14:00,0,1
7/24/2024 16:00,0,1
7/24/2024 18:00,0,1
7/25/2024 10:00,0,1
7/25/2024 12:00,3,-1
7/25/2024 14:00,0,1
7/25/2024 16:00,0,1
7/25/2024 18:00,5,1
7/26/2024 10:00,0,1
7/26/2024 12:00,3,-1
7/26/2024 14:00,0,1
7/26/2024 16:00,0,1
7/26/2024 18:00,160,-1
7/27/2024 10:00,0,1
7/27/2024 12:00,0,1
7/27/2024 14:00,0,1
7/27/2024 16:00,0,1
7/27/2024 18:00,0,1
7/28/2024 10:00,0,1
7/28/2024 12:00,0,1
7/28/2024 14:00,0,1
7/28/2024 16:00,0,1
7/28/2024 18:00,0,1
7/29/2024 10:00,0,1
7/29/2024 12:00,8,1
7/29/2024 14:00,0,1
7/29/2024 16:00,0,1
7/29/2024 18:00,0,1
7/30/2024 10:00,0,1
7/30/2024 12:00,7,1
7/30/2024 14:00,0,1
7/30/2024 16:00,0,1
7/30/2024 18:00,0,1
7/31/2024 10:00,0,1
7/31/2024 12:00,0,1
7/31/2024 14:00,0,1
7/31/2024 16:00,0,1
7/31/2024 18:00,0,1
8/1/2024 10:00,0,1
8/1/2024 12:00,0,1
8/1/2024 14:00,0,1
8/1/2024 16:00,0,1
8/1/2024 18:00,0,1
8/2/2024 10:00,0,1
8/2/2024 12:00,0,1
8/2/2024 14:00,0,1
8/2/2024 16:00,0,1
8/2/2024 18:00,0,1
8/3/2024 10:00,0,1
8/3/2024 12:00,0,1
8/3/2024 14:00,0,1
8/3/2024 16:00,0,1
8/3/2024 18:00,0,1
8/4/2024 10:00,0,1
8/4/2024 12:00,0,1
8/4/2024 14:00,0,1
8/4/2024 16:00,0,1
8/4/2024 18:00,0,1
8/5/2024 10:00,0,1
8/5/2024 12:00,0,1
8/5/2024 14:00,0,1
8/5/2024 16:00,0,1
8/5/2024 18:00,0,1
8/6/2024 10:00,0,1
8/6/2024 12:00,0,1
8/6/2024 14:00,0,1
8/6/2024 16:00,0,1
8/6/2024 18:00,0,1
8/7/2024 10:00,0,1
8/7/2024 12:00,0,1
8/7/2024 14:00,0,1
8/7/2024 16:00,0,1
8/7/2024 18:00,0,1
8/8/2024 10:00,0,1
8/8/2024 12:00,0,1
8/8/2024 14:00,0,1
8/8/2024 16:00,0,1
8/8/2024 18:00,0,1
8/9/2024 10:00,0,1
8/9/2024 12:00,0,1
8/9/2024 14:00,0,1
8/9/2024 16:00,0,1
8/9/2024 18:00,0,1
8/10/2024 10:00,0,1
8/10/2024 12:00,0,1
8/10/2024 14:00,0,1
8/10/2024 16:00,0,1
8/10/2024 18:00,0,1
8/11/2024 10:00,0,1
8/11/2024 12:00,0,1
8/11/2024 14:00,0,1
8/11/2024 16:00,0,1
8/11/2024 18:00,0,1
8/12/2024 10:00,0,1
8/12/2024 12:00,0,1
8/12/2024 14:00,0,1
8/12/2024 16:00,2,-1
8/12/2024 18:00,96,-1
8/13/2024 10:00,0,1
8/13/2024 12:00,6,1
8/13/2024 14:00,0,1
8/13/2024 16:00,0,1
8/13/2024 18:00,0,1
8/14/2024 10:00,0,1
8/14/2024 12:00,4,1
8/14/2024 14:00,0,1
8/14/2024 16:00,0,1
8/14/2024 18:00,0,1
8/15/2024 10:00,0,1
8/15/2024 12:00,3,-1
8/15/2024 14:00,0,1
8/15/2024 16:00,18,-1
8/15/2024 18:00,65,-1
8/16/2024 10:00,0,1
8/16/2024 12:00,36,1
8/16/2024 14:00,49,-1
8/16/2024 16:00,191,-1
8/16/2024 18:00,79,-1
8/17/2024 10:00,0,1
8/17/2024 12:00,0,1
8/17/2024 14:00,0,1
8/17/2024 16:00,0,1
8/17/2024 18:00,0,1
8/18/2024 10:00,0,1
8/18/2024 12:00,0,1
8/18/2024 14:00,0,1
8/18/2024 16:00,0,1
8/18/2024 18:00,0,1
8/19/2024 10:00,0,1
8/19/2024 12:00,6,1
8/19/2024 14:00,0,1
8/19/2024 16:00,0,1
8/19/2024 18:00,0,1
8/20/2024 10:00,0,1
8/20/2024 12:00,5,1
8/20/2024 14:00,0,1
8/20/2024 16:00,0,1
8/20/2024 18:00,0,1
8/21/2024 10:00,0,1
8/21/2024 12:00,4,1
8/21/2024 14:00,0,1
8/21/2024 16:00,0,1
8/21/2024 18:00,6,1
8/22/2024 10:00,0,1
8/22/2024 12:00,0,1
8/22/2024 14:00,4,1
8/22/2024 16:00,0,1
8/22/2024 18:00,0,1
8/23/2024 10:00,0,1
8/23/2024 12:00,0,1
8/23/2024 14:00,22,-1
8/23/2024 16:00,0,1
8/23/2024 18:00,0,1
8/24/2024 10:00,0,1
8/24/2024 12:00,0,1
8/24/2024 14:00,0,1
8/24/2024 16:00,0,1
8/24/2024 18:00,1,-1
8/25/2024 10:00,0,1
8/25/2024 12:00,0,1
8/25/2024 14:00,0,1
8/25/2024 16:00,1,-1
8/25/2024 18:00,0,1
8/26/2024 10:00,0,1
8/26/2024 12:00,8,1
8/26/2024 14:00,0,1
8/26/2024 16:00,0,1
8/26/2024 18:00,0,1
8/27/2024 10:00,0,1
8/27/2024 12:00,0,1
8/27/2024 14:00,0,1
8/27/2024 16:00,0,1
8/27/2024 18:00,0,1
8/28/2024 10:00,0,1
8/28/2024 12:00,4,1
8/28/2024 14:00,0,1
8/28/2024 16:00,5,1
8/28/2024 18:00,0,1
8/29/2024 10:00,0,1
8/29/2024 12:00,4,1
8/29/2024 14:00,0,1
8/29/2024 16:00,0,1
8/29/2024 18:00,0,1
8/30/2024 10:00,0,1
8/30/2024 12:00,48,-1
8/30/2024 14:00,14,1
8/30/2024 16:00,0,1
8/30/2024 18:00,0,1
8/31/2024 10:00,0,1
8/31/2024 12:00,0,1
8/31/2024 14:00,0,1
8/31/2024 16:00,0,1
8/31/2024 18:00,0,1
9/1/2024 10:00,0,1
9/1/2024 12:00,0,1
9/1/2024 14:00,0,1
